Complexity,Loss,Equation
1,0.9412457,"0.5450107"
2,0.010386694,"mish(x0)"
3,0.008386466,"mish(mish(x0))"
4,3.1153533e-8,"x0 * sigmoid(x0)"
6,2.4155488e-8,"sigmoid(x0 * 1.0002644) * x0"
8,1.29912845e-8,"(sigmoid(x0) * (x0 + -0.0003701059)) + 0.00026694854"
10,1.2519163e-8,"(sigmoid(x0) * ((x0 * 1.0000196) + -0.0003701059)) + 0.00026694854"
