Complexity,Loss,Equation
1,0.9414156,"0.54488176"
2,0.010383495,"mish(x0)"
3,0.008403304,"mish(mish(x0))"
4,1.7498577e-8,"x0 * sigmoid(x0)"
7,1.748689e-8,"abs(sigmoid(x0 * 1.0000192)) * x0"
8,1.7369945e-8,"((x0 * 1.0576684) * sigmoid(x0)) / 1.0576853"
