Complexity,Loss,Equation
1,0.94016844,"0.5451388"
2,0.01051257,"mish(x0)"
3,0.00827142,"mish(mish(x0))"
4,2.7194337e-6,"x0 * sigmoid(x0)"
6,1.1170907e-6,"x0 * sigmoid(x0 - 0.007167422)"
8,7.6101117e-7,"x0 * sigmoid((x0 - 0.007182081) * 1.0018936)"
10,6.660603e-7,"((x0 * sigmoid(x0 - 0.012115093)) - 0.00042497882) * 1.001131"
