Complexity,Loss,Equation
1,0.94145375,"0.54488796"
2,0.0103776995,"mish(x0)"
3,0.008390984,"mish(mish(x0))"
4,3.0099088e-8,"sigmoid(x0) * x0"
5,3.0098093e-8,"sigmoid(x0) / inv(x0)"
6,2.5921855e-8,"x0 * sigmoid(x0 / 0.9998011)"
10,2.4723398e-8,"x0 * sigmoid(x0 + ((-1.2470355 + x0) * 0.00012057781))"
11,2.4490832e-8,"x0 * sigmoid(x0 + ((log(0.21545602) + x0) * 0.00012057781))"
12,2.4430578e-8,"x0 * sigmoid(x0 + ((x0 + (x0 - 1.0051408)) * 0.000117404794))"
