Complexity,Loss,Equation
1,0.9430495,"0.5452381"
2,0.010112269,"mish(x0)"
3,0.008480343,"mish(mish(x0))"
4,4.3610244e-6,"sigmoid(x0) * x0"
6,2.3156788e-6,"sigmoid(x0 + 0.008094888) * x0"
10,2.3107434e-6,"sigmoid((x0 * x0) / (x0 - 0.008106098)) * x0"
11,8.2846896e-7,"x0 * sigmoid(x0 - mish(sin(-0.019132566 / abs(x0))))"
