Complexity,Loss,Equation
1,0.94165754,"0.54372764"
2,0.010540844,"mish(x0)"
3,0.00846472,"mish(mish(x0))"
4,4.235713e-6,"x0 * sigmoid(x0)"
6,2.9865112e-6,"sigmoid(x0) * (x0 - 0.0018900611)"
8,2.7931733e-6,"(x0 * sigmoid(x0 + -0.0029881068)) - 0.001078648"
10,1.9170532e-6,"((sigmoid(x0 + -0.009873584) * x0) - 0.0019165736) / 0.998449"
