Complexity,Loss,Equation
1,0.9415771,"0.54484814"
2,0.010377257,"mish(x0)"
3,0.00842758,"mish(mish(x0))"
4,2.7556316e-8,"x0 * sigmoid(x0)"
6,1.2070709e-8,"(x0 * sigmoid(x0)) - 0.00012445393"
