Complexity,Loss,Equation
1,0.94019264,"0.5456741"
2,0.010404526,"mish(x0)"
3,0.0082513355,"mish(mish(x0))"
4,3.0687975e-6,"sigmoid(x0) * x0"
6,2.5246625e-6,"sigmoid(x0 * 1.0023235) * x0"
8,1.8721377e-6,"x0 * sigmoid((x0 * 1.0023438) - 0.004588161)"
9,1.8720996e-6,"x0 * abs(sigmoid((x0 * 1.0023355) - 0.004583209))"
10,1.6039194e-6,"(x0 * 0.995975) * (sigmoid(x0 * 1.0108732) - -0.0016869678)"
