Complexity,Loss,Equation
1,0.08863944,"-0.020185916"
3,0.08182266,"x0 * 0.017570496"
4,0.07733757,"mish(-2.4986768 - x0)"
5,0.06464102,"(x0 - 4.0939856) * 0.049405474"
6,0.06425558,"mish(-0.39323315 - (x0 * -0.08617647))"
8,0.063280866,"((cos(x1) - x0) * -0.049405232) - 0.20563611"
